MERCHANT_0000001,TechWorld,RESTAURANT,USA
MERCHANT_0000002,FuelPlus,GAS_STATION,USA
MERCHANT_0000003,TravelNow,GROCERY,China
MERCHANT_0000004,StyleHub,GROCERY,Singapore
MERCHANT_0000005,BookCorner,HOME_GOODS,USA
MERCHANT_0000006,PetPal,GROCERY,China
MERCHANT_0000007,TravelNow,RESTAURANT,Singapore
MERCHANT_0000008,StyleHub,ELECTRONICS,UK
MERCHANT_0000009,TechWorld,GROCERY,USA
MERCHANT_0000010,HomeDecor,PHARMACY,UK
MERCHANT_0000011,HealthFirst,HOME_GOODS,UK
MERCHANT_0000012,TechWorld,HOME_GOODS,UK
MERCHANT_0000013,BookCorner,CLOTHING,Singapore
MERCHANT_0000014,HealthFirst,CLOTHING,Australia
MERCHANT_0000015,BookCorner,HOME_GOODS,UK
MERCHANT_0000016,Cafe Central,GROCERY,USA
MERCHANT_0000017,StyleHub,ELECTRONICS,USA
MERCHANT_0000018,BookCorner,GAS_STATION,USA
MERCHANT_0000019,Cafe Central,BOOKSTORE,Australia
MERCHANT_0000020,StyleHub,GAS_STATION,USA
MERCHANT_0000021,FuelPlus,GAS_STATION,UK
MERCHANT_0000022,FuelPlus,BOOKSTORE,USA
MERCHANT_0000023,HealthFirst,CLOTHING,USA
MERCHANT_0000024,FuelPlus,PET_STORE,Czech Republic
MERCHANT_0000025,Cafe Central,GROCERY,Australia
MERCHANT_0000026,BookCorner,GAS_STATION,Australia
MERCHANT_0000027,PetPal,RESTAURANT,Australia
MERCHANT_0000028,BookCorner,RESTAURANT,USA
MERCHANT_0000029,BlueMart,ELECTRONICS,USA
MERCHANT_0000030,StyleHub,CLOTHING,Singapore
MERCHANT_0000031,StyleHub,TRAVEL,USA
MERCHANT_0000032,HomeDecor,GROCERY,China
MERCHANT_0000033,Cafe Central,ELECTRONICS,UK
MERCHANT_0000034,BlueMart,GROCERY,USA
MERCHANT_0000035,Cafe Central,CLOTHING,Singapore
MERCHANT_0000036,StyleHub,TRAVEL,Australia
MERCHANT_0000037,BlueMart,GROCERY,Singapore
MERCHANT_0000038,TechWorld,RESTAURANT,USA
MERCHANT_0000039,BookCorner,ELECTRONICS,Czech Republic
MERCHANT_0000040,Cafe Central,TRAVEL,USA
MERCHANT_0000041,HomeDecor,GAS_STATION,USA
MERCHANT_0000042,HomeDecor,RESTAURANT,China
MERCHANT_0000043,TechWorld,GAS_STATION,USA
MERCHANT_0000044,PetPal,RESTAURANT,USA
MERCHANT_0000045,HomeDecor,HOME_GOODS,USA
MERCHANT_0000046,FuelPlus,GAS_STATION,UK
MERCHANT_0000047,TechWorld,CLOTHING,USA
MERCHANT_0000048,TravelNow,GROCERY,Australia
MERCHANT_0000049,HomeDecor,RESTAURANT,UK
MERCHANT_0000050,BlueMart,GAS_STATION,UK
MERCHANT_0000051,TravelNow,RESTAURANT,China
MERCHANT_0000052,BookCorner,PET_STORE,Australia
MERCHANT_0000053,TechWorld,GAS_STATION,USA
MERCHANT_0000054,StyleHub,PET_STORE,USA
MERCHANT_0000055,HomeDecor,GAS_STATION,USA
MERCHANT_0000056,TravelNow,ELECTRONICS,UK
MERCHANT_0000057,TechWorld,CLOTHING,USA
MERCHANT_0000058,BookCorner,PET_STORE,USA
MERCHANT_0000059,HealthFirst,GAS_STATION,USA
MERCHANT_0000060,TravelNow,GAS_STATION,USA
MERCHANT_0000061,BlueMart,GAS_STATION,UK
MERCHANT_0000062,BookCorner,CLOTHING,UK
MERCHANT_0000063,BookCorner,TRAVEL,UK
MERCHANT_0000064,HealthFirst,BOOKSTORE,Czech Republic
MERCHANT_0000065,TechWorld,BOOKSTORE,UK
MERCHANT_0000066,HealthFirst,BOOKSTORE,UK
MERCHANT_0000067,FuelPlus,BOOKSTORE,Singapore
MERCHANT_0000068,HealthFirst,PET_STORE,USA
MERCHANT_0000069,PetPal,TRAVEL,USA
MERCHANT_0000070,HomeDecor,PHARMACY,USA
MERCHANT_0000071,PetPal,GAS_STATION,USA
MERCHANT_0000072,Cafe Central,CLOTHING,USA
MERCHANT_0000073,BlueMart,PET_STORE,USA
MERCHANT_0000074,HomeDecor,ELECTRONICS,USA
MERCHANT_0000075,TechWorld,ELECTRONICS,USA
MERCHANT_0000076,PetPal,TRAVEL,UK
