ACCOUNT__0000001,CUSTOMER_0000057,BRANCH_I_0000010,LOAN,USD,2021-02-10,ACTIVE,5668.540964289781
ACCOUNT__0000002,CUSTOMER_0000095,BRANCH_I_0000004,CHECKING,AUD,2019-02-11,CLOSED,-3579.2193543277745
ACCOUNT__0000003,CUSTOMER_0000031,BRANCH_I_0000006,SAVINGS,USD,2019-12-03,BLOCKED,7063.994876233457
ACCOUNT__0000004,CUSTOMER_0000061,BRANCH_I_0000010,SAVINGS,USD,2021-08-05,BLOCKED,7302.28226664005
ACCOUNT__0000005,CUSTOMER_0000059,BRANCH_I_0000003,CHECKING,HKD,2021-02-19,CLOSED,6570.703249933937
ACCOUNT__0000006,CUSTOMER_0000026,BRANCH_I_0000014,SAVINGS,GBP,2021-04-06,ACTIVE,10897.200291220606
ACCOUNT__0000007,CUSTOMER_0000019,BRANCH_I_0000003,SAVINGS,USD,2019-05-10,CLOSED,8106.760136218407
ACCOUNT__0000008,CUSTOMER_0000073,BRANCH_I_0000010,LOAN,USD,2021-06-29,BLOCKED,7245.339487075053
ACCOUNT__0000009,CUSTOMER_0000035,BRANCH_I_0000017,LOAN,GBP,2020-12-25,ACTIVE,10564.900562617939
ACCOUNT__0000010,CUSTOMER_0000095,BRANCH_I_0000011,CREDIT,USD,2018-11-30,CLOSED,9629.275743358174
ACCOUNT__0000011,CUSTOMER_0000074,BRANCH_I_0000019,SAVINGS,HKD,2021-05-26,BLOCKED,5084.322230548069
ACCOUNT__0000012,CUSTOMER_0000098,BRANCH_I_0000006,LOAN,GBP,2020-02-10,BLOCKED,-1823.9399235952965
ACCOUNT__0000013,CUSTOMER_0000075,BRANCH_I_0000014,LOAN,HKD,2020-04-07,BLOCKED,2146.0916350252683
ACCOUNT__0000014,CUSTOMER_0000042,BRANCH_I_0000004,CHECKING,USD,2021-07-09,BLOCKED,43.81141882547581
ACCOUNT__0000015,CUSTOMER_0000052,BRANCH_I_0000018,SAVINGS,GBP,2019-05-25,BLOCKED,657.2912598299072
ACCOUNT__0000016,CUSTOMER_0000099,BRANCH_I_0000013,SAVINGS,AUD,2020-09-03,BLOCKED,2231.832488988126
ACCOUNT__0000017,CUSTOMER_0000025,BRANCH_I_0000017,CREDIT,AUD,2020-06-04,CLOSED,2735.716725139575
ACCOUNT__0000018,CUSTOMER_0000007,BRANCH_I_0000007,CREDIT,GBP,2019-03-31,BLOCKED,10414.815803761598
ACCOUNT__0000019,CUSTOMER_0000063,BRANCH_I_0000004,SAVINGS,HKD,2021-01-16,ACTIVE,7421.199439254535
ACCOUNT__0000020,CUSTOMER_0000040,BRANCH_I_0000018,SAVINGS,GBP,2018-02-25,ACTIVE,12364.499939416342
ACCOUNT__0000021,CUSTOMER_0000015,BRANCH_I_0000015,SAVINGS,AUD,2018-06-30,BLOCKED,11321.428548846827
ACCOUNT__0000022,CUSTOMER_0000038,BRANCH_I_0000017,CREDIT,GBP,2020-05-03,BLOCKED,-734.7091436850787
ACCOUNT__0000023,CUSTOMER_0000071,BRANCH_I_0000005,LOAN,USD,2020-12-28,CLOSED,8060.119546116959
