LOAN_ID_0000001,CUSTOMER_0000028,ACCOUNT__0000162,2923.176743423191,5.8767897285649005,2021-08-07,2026-07-16,CLOSED
LOAN_ID_0000002,CUSTOMER_0000071,ACCOUNT__0000262,13348.300167381985,6.240728575741063,2018-08-07,2022-06-16,ACTIVE
LOAN_ID_0000003,CUSTOMER_0000059,ACCOUNT__0000183,5544.088573746082,3.9274586274086687,2020-12-30,2023-04-30,ACTIVE
LOAN_ID_0000004,CUSTOMER_0000033,ACCOUNT__0000154,4292.149865064766,4.3992938696721735,2018-12-14,2026-01-16,ACTIVE
LOAN_ID_0000005,CUSTOMER_0000093,ACCOUNT__0000167,17961.631789128456,3.605158717997129,2021-08-07,2025-11-13,DEFAULTED
LOAN_ID_0000006,CUSTOMER_0000013,ACCOUNT__0000154,3228.746125477495,5.829194102562911,2019-11-15,2022-05-14,ACTIVE
LOAN_ID_0000007,CUSTOMER_0000099,ACCOUNT__0000172,9284.639035582197,5.859995950162897,2020-01-26,2026-10-17,ACTIVE
LOAN_ID_0000008,CUSTOMER_0000099,ACCOUNT__0000117,17079.733816751792,5.9731735855941155,2017-10-18,2025-06-25,DEFAULTED
LOAN_ID_0000009,CUSTOMER_0000049,ACCOUNT__0000028,8443.276161145235,3.1441378825724713,2020-10-04,2025-02-03,ACTIVE
LOAN_ID_0000010,CUSTOMER_0000042,ACCOUNT__0000258,16106.488725584333,3.5361911891163835,2021-07-05,2026-01-11,CLOSED
LOAN_ID_0000011,CUSTOMER_0000058,ACCOUNT__0000295,12342.222249184679,3.77729969852995,2019-05-11,2026-05-03,CLOSED
LOAN_ID_0000012,CUSTOMER_0000019,ACCOUNT__0000068,9055.27947179697,4.665491290390804,2021-11-29,2022-03-15,DEFAULTED
LOAN_ID_0000013,CUSTOMER_0000052,ACCOUNT__0000135,4159.04025563059,4.756380904620281,2021-08-24,2022-08-29,ACTIVE
LOAN_ID_0000014,CUSTOMER_0000062,ACCOUNT__0000287,6363.116290519322,4.383615812531631,2020-12-08,2023-01-10,DEFAULTED
LOAN_ID_0000015,CUSTOMER_0000079,ACCOUNT__0000269,7301.793889888705,3.250753931193797,2020-02-22,2023-09-28,DEFAULTED
LOAN_ID_0000016,CUSTOMER_0000074,ACCOUNT__0000046,4694.332492344656,4.447537183630407,2019-10-13,2023-11-18,ACTIVE
LOAN_ID_0000017,CUSTOMER_0000042,ACCOUNT__0000177,14080.604406300874,3.0847239061734415,2019-06-11,2022-11-16,CLOSED
LOAN_ID_0000018,CUSTOMER_0000079,ACCOUNT__0000227,14652.052047427447,4.541621984221573,2019-01-16,2023-01-17,DEFAULTED
LOAN_ID_0000019,CUSTOMER_0000048,ACCOUNT__0000080,17275.80876056471,5.984674508127201,2018-05-13,2026-01-27,ACTIVE
LOAN_ID_0000020,CUSTOMER_0000032,ACCOUNT__0000076,19440.670857076886,5.870468847504987,2017-10-23,2023-11-08,DEFAULTED
